mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
3.43,11.79,25.7,14,0,474.39
2.64,7.59,25.7,18,0,518.09
14.17,6.55,25.7,9,0,203.07
12.75,5.58,25.7,8,0,411.77
7.2,7,25.7,4,0,474.53
7.5,7.51,25.7,13,0,474.53
8.33,12.92,25.7,6,0,494.59
14.67,4.71,25.7,6,0,780.45
14.68,6,25.7,31,0,768.89
21.4,6.35,25.7,13,0,945.55
24.4,4.53,25.7,0,0,194.92
8.33,7.2,28.46,6,0,506.25
24,11.36,18.62,1,0,232.61
12.78,6.54,18.62,21,0,123.48
5.17,7.54,18.62,17,0,540.43
3,3.88,18.62,14,0,276.49
5.08,4.69,18.62,16,0,271.1
16,18.64,18.62,10,0,392.41
1.73,6.79,25.01,9,0,439.65
1,2.56,18.62,1,0,349
1.43,3.48,18.62,8,0,349
1.93,3.74,25.01,39,0,148.46
2.5,2.11,31.39,7,0,299.37
4.5,3.39,31.39,18,0,105.45
19.5,4.11,25.7,4,0,296.97
20,3.09,25.7,1,0,324.56
21.5,9.04,25.7,3,0,570.96
38,8.32,18.62,9,0,555.97
25.5,8.86,18.62,31,0,449.48
23.57,13.91,18.62,14,0,450.66
28.88,17.84,18.62,22,0,374.18
17.71,10.67,18.62,16,0,374.18
24.2,9.53,18.62,28,0,477.97
13.38,3.79,18.62,39,0,374.32
26,15.18,18.62,28,0,223.79
16.63,9.12,18.62,61,0,25
5.08,6.57,18.62,68,0,202.72
17.97,12.06,18.62,102,0,56.79
27.23,6.96,18.62,87,0,325.85
35.1,14.11,18.62,8,0,617.18
31.3,4.18,18.62,9,0,613.28
33.2,10.51,18.62,17,0,465.69
31.9,21.89,18.62,2,0,613.28
34.67,5.94,18.62,0,0,571.83
31.26,11.34,18.62,6,0,269.54
34,9.46,18.62,2,0,551.78
28.67,6.7,18.62,17,0,444.72
29.67,3.5,18.62,14,0,428.83
29.9,10.83,18.62,0,0,386.04
7.77,8.44,31.39,28,0,159.48
12.33,13.83,31.39,7,0,164.99
14.43,12.88,31.39,1,0,294.01
30.75,13.53,31.39,7,0,357.59
28,8.63,31.39,1,0,185.86
13.25,8.94,31.39,8,0,169.68
8.43,11.44,31.39,17,0,129.67
29.75,6.54,31.39,7,0,470.56
16.67,15.31,31.39,0,0,216.11
8.6,10.01,31.39,0,0,416.16
10,6.11,31.39,0,0,208.58
26.5,5.5,25.7,6,0,289.53
26.6,5.84,25.7,13,0,289.53
24,8.95,25.7,8,0,265.31
26,7.69,25.7,11,0,281.25
13.2,7.84,25.7,10,0,318.82
20.22,9.11,25.7,26,0,390.26
10,10.23,25.7,9,0,382.06
20.33,9.2,25.7,6,0,312.16
23,3.22,25.7,7,0,552.89
23.5,3.17,31.39,0,0,723.09
21,7.83,31.39,5,0,692.1
24.5,6.37,25.7,16,0,228.39
26.33,3.47,25.7,8,0,328.59
24,11.2,25.7,6,0,188.21
19.75,10.67,25.7,10,0,126.49
12.67,16.02,25.7,0,0,45.22
3,4.09,13.21,0,0,224.11
1,3.15,13.3,18,0,234.82
-0.25,7.83,13.3,11,0,131.44
-1.67,6.67,13.3,1,0,105.26
13.6,3.11,13.3,4,0,569.41
11.57,3.02,13.3,0,0,405.86
10.8,2.82,13.3,6,0,424.13
11.75,2.73,13.3,17,0,761.91
11.8,1.52,13.3,15,0,759.56
2.86,2.67,13.3,0,0,173.87
12.4,2.94,13.3,0,0,396.33
13,3.73,13.3,4,0,433.01
10.33,6.43,13.3,6,0,98.58
14,3.52,13.3,0,0,448
15.57,3.34,13.3,0,0,660.99
16.67,5.22,13.3,0,0,607.05
16.33,4.38,13.3,2,0,376.6
8,5.84,28.46,0,0,136.3
13.25,6.25,28.46,3,0,303.36
7.67,6.14,28.46,0,0,302.87
12.25,5.87,28.46,4,0,416.34
9.5,3.16,28.46,0,0,410.38
11.5,4.86,28.46,1,0,488.92
9.67,4.81,28.46,1,0,564
10,9.35,28.46,3,0,297.49
5.4,4.46,18.62,0,0,131.14
12.2,1.98,28.46,0,0,315.24
12.2,3.1,28.46,0,0,271.55
12.86,2.23,28.46,0,0,424.12
8.2,4.38,18.62,16,0,230.92
6.33,3.36,18.62,7,0,141.96
7,5.56,28.46,1,0,465.9
12.8,3.54,18.62,8,0,149.32
8.67,6.49,15.96,4,0,62.79
8.25,3.68,18.62,0,0,168.83
6.33,8.28,18.62,4,0,104.72
7,8.51,18.62,10,0,23.77
11.5,3.07,18.62,2,0,102.86
12.14,6.46,18.62,0,0,217.96
9.4,5.85,18.62,1,0,117.97
9.4,4.81,18.62,1,0,123.94
11,2.47,18.62,8,0,256.69
11.4,4.34,18.62,15,0,406.9
11.58,5.34,18.62,15,0,537.67
12.8,3.03,18.62,3,0,508.33
9,6.66,18.62,0,0,543.26
5,4.98,18.62,0,0,501.58
9.13,3.6,18.62,5,0,402.17
2.75,3.75,18.62,6,0,94.33
4.73,5.03,18.62,6,0,105.4
11.2,5.19,18.62,4,0,324.05
10.33,2.94,18.62,4,0,347.4
10,9.92,18.62,0,0,315.76
7.67,7.38,18.62,0,0,288.32
10,4.12,18.62,5,0,347.48
8.33,2.05,18.62,3,0,398.69
7.14,3.09,18.62,3,0,399.85
7,3.09,18.62,0,0,386.48
6.33,2.62,18.62,6,0,417.72
9.8,5.57,18.62,6,0,467.37
3.8,3.97,18.62,0,0,36.29
2.81,3.91,18.62,29,0,52.38
2,4.12,18.62,8,0,194.96
4,7.87,18.62,0,0,462.52
6,6.65,18.62,0,0,471.88
13.64,6.41,18.62,6,0,253.7
16,6.54,18.62,0,0,324.54
13.67,4.57,18.62,0,0,326.64
11.67,2.98,18.62,0,0,396.14
9.29,4.21,18.62,0,0,195.08
15.5,3.81,18.62,0,0,333.61
18,3.02,18.62,0,0,234.93
11.64,7.04,18.62,7,0,612.12
5,5.8,18.62,5,0,743.8
10.5,3.8,18.62,2,0,606.65
10,1.5,18.62,3,0,521.34
15.43,4.22,18.62,7,0,163.5
11.8,10.13,18.62,0,0,511.67
9.63,6.66,18.62,6,0,567.51
23,8.6,13.3,2,0,125.21
25,4.67,13.3,10,0,170.41
13.33,3.66,13.3,0,0,484.12
18.33,10.11,13.3,0,0,476.43
32.5,5.91,31.39,0,0,530.9
23.6,13.72,31.39,7,0,418.59
34.75,6.72,31.39,4,0,538.34
29,12.99,31.39,9,0,569.75
5,4.43,31.39,14,0,181.28
11.5,6.06,31.39,11,0,140.53
10.6,4.29,31.39,20,0,240.38
4.75,3.97,31.39,0,0,132.15
18.33,9.77,31.39,0,0,157.41
24.8,6.27,31.39,5,0,206.23
6.6,10.73,31.39,7,0,109.07
8.11,15.04,31.39,27,0,73.7
17.43,21.42,31.39,0,0,343.51
20.29,24.98,31.39,0,0,253.28
27.2,13.21,31.39,0,0,501.06
5,7.19,18.62,6,0,146.9
0.96,3.35,18.62,24,0,84.43
1.4,3.85,31.39,13,0,388.12
4.75,6.31,31.39,10,0,371.11
11.5,6.53,25.7,1,0,388.23
13,3.14,25.7,6,0,867.76
17.67,3,25.7,9,0,276.48
17.43,18.92,25.7,13,0,194.56
26.86,12.84,25.7,11,0,382.6
22.33,9.39,28.55,10,0,292.3
21.75,7.51,25.7,8,0,322.3
6.21,6.36,25.01,13,0,33.87
14.5,6.83,31.39,6,0,280.84
9.6,7.53,31.39,2,0,425.2
16,5.92,13.3,0,0,524.08
9.1,4.21,13.3,12,0,668.33
11.1,3.69,13.3,3,0,701.93
14,5.7,13.3,0,0,665.58
13,5.18,13.3,0,0,614.32
13,1.31,13.3,4,0,552.98
9.75,4.95,13.3,0,0,609.98
10.75,4.5,13.3,0,0,594.1
9.25,5.64,13.3,12,0,284.22
10.7,2.26,13.3,3,0,345.51
11.29,2.81,13.3,3,0,428.5
9.33,3.69,13.3,0,0,444.69
11.5,5.16,13.3,4,0,742.02
13,3.4,13.3,0,0,708.14
10.4,3.1,18.62,8,0,143.19
13.33,3.99,18.62,2,0,387.87
10,2.43,28.46,6,0,1017.77
11.8,2.27,28.46,13,0,1169.07
9.5,2.75,28.46,3,0,892.86
8,2.91,28.46,11,0,1269.66
5.25,3.44,28.46,8,0,1378.15
8.83,2.71,28.46,12,0,1446.06
6.29,2.85,28.46,23,0,1523.48
9,5.73,28.46,5,0,1649.7
8.5,2.31,28.46,8,0,1557.09
7,2.77,28.46,6,0,1620.77
10,2.43,28.46,6,0,1566.29
9.83,5.1,20.83,19,0,872.71
8,6.07,13.21,1,0,819.41
9.75,3.19,13.21,6,0,834.58
6,3.33,13.21,5,0,481.53
12,7.18,18.62,0,0,186.76
13.5,3.04,18.62,0,0,159.41
17.67,4.61,18.62,0,0,415.1
5.83,5.75,24.31,6,0,13.98
8.13,2.99,24.31,14,0,281.79
6,4.97,24.31,19,0,228.73
8,2.95,24.31,7,0,350.86
7.2,3.24,24.31,8,0,215.34
10,3.84,19.7,5,0,278.34
7.7,3.58,15.09,13,0,139.95
14.43,4.31,15.09,12,0,62.9
14,6.74,15.09,6,0,76.02
11,5.27,15.09,0,0,5.25
17.8,5.19,15.09,0,0,205.37
17.5,3.41,15.09,0,0,65.63
18,1.86,15.09,0,0,104.03
15.5,1.84,15.09,0,0,99
13.56,4.06,15.09,3,0,70.41
16.2,5.13,15.09,0,0,205.96
14.29,5.92,15.09,0,0,44.61
15.4,3.42,15.09,0,0,52.99
15.38,7.33,15.09,0,0,0
17.71,3.64,15.09,0,0,159
10,2.87,15.09,0,0,82.8
16.64,7.84,15.09,0,0,47.68
11.7,7.17,15.09,0,0,0
18.75,6.17,15.09,3,0,204.24
16.3,3.46,15.09,0,0,202.06
20.64,3.39,15.09,8,0,88.4
21.33,3.13,15.09,10,0,5.72
21.3,2.6,15.09,11,0,142.88
21.67,2.76,15.09,3,0,128.11
31.14,5.04,15.09,0,0,377.45
21,6.76,15.09,0,0,615.58
21.33,8.09,15.09,0,0,523.37
18.5,4.89,15.09,0,0,532.33
17.88,5.94,15.09,0,0,72.08
9.36,8.38,15.09,0,0,4.61
14.36,6.63,15.09,0,0,520.5
22.5,4.57,15.09,0,0,221.09
20.2,7.27,15.09,0,0,221.78
19.5,12.2,15.09,0,0,188.02
14.8,5.24,15.09,0,0,98.51
13.33,5.71,15.09,0,0,95.28
15.67,4.45,15.09,0,0,148.3
22.67,2.86,15.09,0,0,86.3
24.63,7.7,15.09,3,0,6.56
19.7,3.58,15.09,0,0,0
21.4,2.72,24.31,11,0,0
19.21,3.27,24.31,5,0,170.05
22,3.38,24.31,0,0,172.22
15.1,3.36,15.09,4,0,9.88
14.67,2.91,15.09,7,0,280.18
15,2.46,15.09,0,0,10.45
16.18,3.99,15.09,11,0,67.33
11.14,8.69,24.31,0,0,127.45
13.5,4.61,19.7,5,0,199.99
15.5,5.33,19.7,9,0,202.72
16.07,3.47,15.09,8,0,241.41
16.17,3.08,15.09,0,0,219.69
11.33,6.95,15.09,0,0,100.97
12.67,6.18,15.09,8,0,299.85
11.71,6.23,15.09,11,0,304.14
17.67,2.05,15.09,0,0,139.97
17.33,1.96,15.09,0,0,164.54
16,4.06,15.09,0,0,223.44
17,2.48,15.09,0,0,257.79
18.5,2.29,15.09,0,0,401.09
18,5.11,15.09,3,0,137.36
15.5,4.15,15.09,0,0,206.6
16.67,3.61,15.09,0,0,200.57
15.75,7.49,15.09,0,0,178.58
15.67,4.4,24.31,1,0,104.24
19.6,3.47,24.31,1,0,413.8
16.71,3.73,24.31,0,0,248.57
19.83,2.05,24.31,0,0,342.1
15.67,2.13,24.31,3,0,312.28
15.6,3.21,15.09,0,0,395.4
14.8,5.79,15.09,0,0,133.23
13,7.9,15.09,0,0,391.42
15.75,5.68,15.09,0,0,599.04
20.75,3.19,15.09,0,0,479.61
20.33,1.75,15.09,0,0,683.98
17.67,3.12,15.09,0,0,295.42
15.12,4.04,24.31,9,0,620.84
22,3.02,24.31,0,0,643.16
7.11,4.31,24.31,0,0,483.1
9,4.13,24.31,0,0,660.58
8.57,3.39,24.31,8,0,163
8.67,2.71,24.31,0,0,170.09
13,4.95,24.31,0,0,295.96
9,5.57,24.31,1,0,264.17
7.5,4.11,24.31,3,0,380.67
8.33,1.12,24.31,0,0,279.91
4.78,5.4,24.31,0,0,23.53
7,3.28,24.31,7,0,310.94
9,4.72,24.31,4,0,368.87
7.6,5.27,24.31,0,0,396.79
6.83,4.34,24.31,1,0,347.75
9,2.69,24.31,0,0,281.77
10,6.37,15.09,3,0,293.09
15.82,6.75,24.31,0,0,0
23.43,8.77,24.31,0,0,0
24,4.82,24.31,9,0,166.78
24.67,5.07,24.31,21,0,166.61
18.13,4.36,24.31,24,0,313.36
21.33,4.41,24.31,16,0,279.21
20.67,4.55,24.31,0,0,0
18,7.2,24.31,0,0,44.63
21.8,3.98,24.31,0,0,0
20,4.25,24.31,0,0,0
25.71,5.5,24.31,7,0,345.59
19.5,3.53,24.31,0,0,301.86
17.67,5.31,24.31,0,0,543.39
12.67,6.44,24.31,6,0,796.48
16.2,5.81,24.31,4,0,874.99
19.5,2.72,24.31,5,0,858.3
5.8,7.88,24.31,0,0,696.58
15.5,1.94,24.31,8,0,884.88
12.5,5.07,24.31,0,0,863.11
14.29,3.93,24.31,9,0,648.51
17.17,2.17,24.31,14,0,518.17
21.8,3.6,24.31,4,0,360.79
22.75,2.75,24.31,7,0,722.28
25.67,2.8,24.31,5,0,738.13
22.75,3.94,24.31,8,0,706.08
25.33,4.28,24.31,3,0,409.88
23.2,6.33,24.31,0,0,371.52
20,8.08,24.31,4,0,362.21
9,9.09,24.31,3,0,236.36
14.25,8.61,24.31,0,0,68.12
19,4.6,24.31,0,0,131.52
17.75,6.59,24.31,0,0,131.52
28.15,5.69,24.31,6,0,134.76
19.75,4.62,24.31,10,0,22.43
16.75,4.07,24.31,6,0,3.95
17,2.36,24.31,3,0,80.19
16.47,5.81,24.31,12,0,151.85
11.75,3.67,24.31,0,0,145
14.33,3.87,24.31,0,0,104.05
24.2,7.86,24.31,3,0,190.62
6.33,9.27,15.09,0,0,78.81
17.33,7.61,24.31,4,0,783.41
24.8,2.33,24.31,8,0,526.56
20,5.59,24.31,2,0,451.32
25,6.43,24.31,0,0,444.56
19.33,2.76,24.31,14,0,218.07
19.25,4.06,24.31,10,0,186.51
19,3.94,15.09,6,0,157.19
29,5.99,24.31,0,0,144.85
8.55,5.38,15.09,0,0,297.69
16.44,3.91,15.09,6,0,220.11
14.08,4.33,15.09,0,0,63.9
13,2.89,15.09,6,0,65.12
10.33,3.28,15.09,0,0,143.1
13.33,5.11,15.09,0,0,173.79
9.93,5.76,15.09,0,0,5.15
18.17,6.3,15.09,3,0,275.44
10,7.42,15.09,8,0,582.93
11.33,9.41,15.09,5,0,533.65
15.17,10.45,15.09,2,0,524.63
20.17,3.58,15.09,13,0,419.52
18.1,5.24,15.09,0,0,267.07
15.1,4.33,15.09,0,0,106.47
20.13,7.43,15.09,0,0,295.05
14,1.5,15.09,0,0,177.52
15.5,7.8,15.09,3,0,131.9
18,4.81,15.09,0,0,192.1
18.5,4.69,15.09,0,0,199.27
20,4.5,15.09,0,0,267.13
24.5,4.64,15.09,0,0,479.57
12.75,9.9,15.09,8,0,275.08
14.67,4.89,15.09,0,0,170.49
10,2.81,15.09,7,0,295.81
17,5.77,15.09,0,0,619.11
9.75,6.05,15.09,2,0,0
15.67,4.78,15.09,0,0,96.89
17.67,6.41,15.09,0,0,228.91
17.29,6.38,15.09,0,0,51.44
12.4,5.24,15.09,0,0,0
10.5,4.19,15.09,0,0,161.45
12.67,5.9,15.09,0,0,147.76
11.8,6.31,15.09,0,0,0
15.25,6.82,15.09,0,0,261.6
22,5.18,15.09,0,0,279.28
25.92,4.74,15.09,0,0,391.15
26.33,3.97,15.09,0,0,225.1
29.25,7.87,15.09,0,0,413.21
15.67,2.89,15.09,0,0,179.72
15,2.46,15.09,0,0,215.85
16.4,5.01,15.09,0,0,215.85
26.33,4.41,15.09,0,0,597.21
10.2,6.44,15.09,0,0,392.6
14,8.22,15.09,0,0,344.67
24.18,3.18,15.09,5,0,409.9
19.57,6.37,15.09,3,0,105.04
19.75,3.54,15.09,0,0,154.77
23.83,2.72,15.09,3,0,275.97
24.57,5.91,15.09,0,0,255.02
10,2.72,15.09,0,0,26.25
16.14,6.29,15.09,0,0,109.13
14.13,3.43,15.09,0,0,193.99
11.67,3.73,15.09,0,0,136.95
12.33,2.97,15.09,0,0,141.68
12.17,6.62,15.09,2,0,0
19,4.64,15.09,2,0,112
21,6.17,15.09,3,0,236.93
18.1,5.04,15.09,6,0,17.41
16,4.13,15.09,4,0,110.36
21.33,6.48,15.09,0,0,525.79
17.7,6.28,15.09,0,0,655.15
25,5.71,15.09,4,0,525.66
24,4.27,15.09,3,0,407.4
15.5,6.47,15.09,0,0,535.22
19,3.22,15.09,0,0,257.91
19.5,3.36,15.09,4,0,328.08
19.78,3.37,15.09,0,0,235.52
16.33,5.2,15.09,0,0,171.76
18,2.6,15.09,0,0,247.1
16.93,3.37,19.7,1,0,503.74
14.6,5.6,24.31,3,0,709.11
16.5,6.2,24.31,0,0,644.24
23,3.68,15.09,0,0,337.63
19.67,8.18,15.09,0,0,221.23
23.45,3.18,19.7,13,0,428.6
26,1.91,24.31,6,0,412.48
22,3.35,19.7,12,0,220.7
18.5,4.9,15.09,0,0,251.18
23.75,3.04,24.31,4,0,406.97
24.25,1.33,24.31,7,0,334.15
19,4.92,15.09,2,0,187.17
19.5,4.28,15.09,2,0,203.2
25.5,4.1,24.31,0,0,251.33
21.67,3.09,24.31,3,0,384.79
27.5,6.01,15.09,0,0,528.21
25.5,2.9,15.09,0,0,332.63
8.25,7.44,24.31,6,0,29.02
14.11,3.6,24.31,0,0,120
19,4.21,24.31,0,0,626.64
18.33,4.71,24.31,0,0,508.9
19.5,5.06,24.31,0,0,407.33
16.86,5.25,24.31,0,0,191.66
17,4.87,24.31,3,0,205.85
10.17,8.34,24.31,0,0,116.65
21.86,5.53,24.31,0,0,286.89
17.67,3.08,24.31,0,0,235.54
22,7.13,24.31,0,0,49.34
21.67,12.19,24.31,0,0,3.19
20,3.46,24.31,0,0,217.19
20.43,5.1,24.31,0,0,115.38
22.29,4.2,24.31,0,0,0
18.33,5.61,24.31,3,0,94.57
20.29,4.31,24.31,1,0,7.93
22.5,4.78,24.31,0,0,56.64
20.5,3.88,24.31,3,0,57.75
19.75,4.8,24.31,0,0,164.26
26.25,3.44,24.31,0,0,41.19
24.71,4.64,24.31,5,0,1.75
26.5,2.13,24.31,6,0,43.11
27.22,3.72,24.31,10,0,83.27
19.8,4.41,24.31,3,0,244.53
16.4,7.23,24.31,0,0,246.1
22.14,5.75,24.31,3,0,304.56
22,5.58,24.31,6,0,295.87
19.5,8.31,24.31,0,0,250.93
20,5.11,24.31,2,0,407.94
22,2.65,24.31,4,0,591.92
17,2.8,24.31,6,0,613.39
23,5.01,24.31,1,0,118.04
17.08,7.65,24.31,0,0,99.66
20.33,5.32,24.31,6,0,227.43
17.67,6.25,24.31,2,0,325.44
19.5,3.24,24.31,0,0,321.22
17,4.75,24.31,3,0,290.31
8.33,7.98,24.31,0,0,65.62
16,1.94,24.31,0,0,114.89
45.5,11.67,17.11,0,0,875.06
28,8.17,17.11,0,0,411.33
20.25,7.65,17.11,0,0,364.21
32.18,5.4,17.11,0,0,263.09
15.8,14.03,17.11,0,0,200.92
24.31,7.15,17.11,0,0,385.06
18.8,5.37,17.11,0,0,98.69
23,4.27,17.11,0,0,303.53
24.25,6.26,17.11,0,0,281.78
25,6.39,17.11,0,0,318.73
21,9.19,17.11,0,0,157.38
18.46,10.13,17.11,0,0,8.34
25.4,7.64,17.11,0,0,95.49
35.11,10.61,17.11,2,0,225.32
25.57,12.06,17.11,0,0,74.92
19.1,10.24,17.11,0,0,20.26
31.25,6.06,17.11,1,0,229.76
48.75,5.68,17.11,0,0,433.9
46,5.39,17.11,0,0,406.28
22.75,3.2,17.11,3,0,442.54
20.6,3.68,17.11,0,0,365.28
17.75,6.83,17.11,0,0,277.75
22.1,2.94,17.11,22,0,242.36
20.67,4.79,17.11,4,0,304.72
23,3.31,17.11,0,0,186.92
39.47,10.01,17.11,0,0,329.7
32,6.44,17.11,0,0,888.92
35.4,6.3,18.09,0,0,506.47
26.22,5.4,17.6,0,0,309.51
26.38,9.7,18.09,0,0,773.66
32,6.96,18.09,0,0,724.86
33.33,9.88,18.09,0,0,442.97
26.2,8.44,18.09,0,0,238.11
31.6,8.18,18.09,0,0,229.92
29.8,9.26,18.09,0,0,178.51
37,7.49,18.09,0,0,297.8
32.42,11.8,18.09,13,0,752.92
43.15,5.97,18.09,0,0,574.68
29.5,4.56,18.09,6,0,974.84
42.68,10.09,18.09,15,0,983.02
46.6,5.58,18.09,0,0,1267.81
60.2,14.74,18.09,0,0,939.29
62.56,10.68,18.09,0,0,948.6
70.2,18.91,18.09,0,0,1009.59
60.77,22.2,18.09,0,0,1002.98
87.88,13.77,18.09,0,0,1230.45
67.25,23.37,18.09,6,0,568.3
37.75,7.82,18.09,6,0,386.72
79.91,9.18,18.09,0,0,890.29
76.1,5.35,18.09,0,0,767.16
84.55,7.89,18.09,0,0,651.98
58.46,12.12,18.09,0,0,176.22
27.38,8.23,18.09,0,0,90.95
36.5,10.94,18.09,0,0,415.43
39.38,7.41,18.09,0,0,452.88
28.7,14.95,18.09,0,0,74.31
32,7.48,18.09,0,0,375.04
36.25,4.48,18.09,0,0,486.9
21.89,5.8,18.09,0,0,287.52
44.4,4.81,18.09,0,0,397.67
28,6.05,18.09,0,0,153.39
34,12.66,18.09,0,0,226.07
31.33,7.99,18.09,0,0,4.47
23.4,9.6,18.09,0,0,370.25
36.25,6.13,17.11,0,0,372.83
34,1.74,17.11,0,0,393.69
38.14,16.2,17.11,0,0,422.5
40.57,11.35,17.11,0,0,310.34
48,18.7,17.11,0,0,420.48
36.33,10.17,17.11,0,0,239.25
23.26,14.14,17.11,0,0,68.97
24.6,19.16,17.11,0,0,405.79
44.63,8.5,17.11,0,0,533.66
42.5,4.41,17.11,0,0,640.41
39.5,8.09,17.11,0,0,599.36
38.14,7.73,17.11,0,0,831.85
36,3.5,17.11,0,0,914.96
33.5,2.33,17.11,7,0,691.55
31,5.16,17.11,3,0,681.83
17,3.52,17.11,4,0,189.48
19.33,5.94,17.11,9,0,163.46
20,4.53,17.11,9,0,124.44
20.88,6.69,17.11,18,0,61.73
17.8,4.53,17.11,11,0,127.18
15.8,3.5,17.11,9,0,93.58
19.8,4,17.11,13,0,181.27
18,3.85,17.11,8,0,238.64
41.17,8.68,17.11,0,0,641.61
32.38,9.13,17.11,0,0,127.72
44.67,12.03,17.11,0,0,232.12
43.69,15.17,15.64,0,0,778.42
17.83,7.06,17.11,0,0,321.21
30.83,8.85,17.11,25,0,206.1
27.08,11.62,17.11,11,0,119.24
24.67,6.18,17.11,0,0,394.75
26.25,8.41,17.11,3,0,126.45
31.57,10.99,17.11,0,0,238.12
36.83,3.67,17.11,0,0,403.7
20.13,5.49,17.11,5,0,137.14
19.5,7.71,17.11,3,0,119.77
17.33,11.55,17.11,0,0,68.77
17.25,11.54,17.11,0,0,80.12
16.86,7.7,17.11,18,0,35.64
17.57,4.64,17.11,17,0,83.92
24.5,4.03,17.11,6,0,86.47
33.43,6.42,17.11,19,0,269.51
28.86,3.79,17.11,6,0,379.87
22.4,6.74,17.11,3,0,219.8
27.2,4.88,17.11,10,0,364.91
32,3.58,17.11,3,0,219.06
42.2,11.46,17.11,0,0,303.62
96.67,5.14,18.09,0,0,551.23
92.83,4.95,18.09,0,0,671.26
79.67,14.29,18.09,0,0,754.67
86.33,7.84,18.09,0,0,655.16
36.75,9.81,17.11,3,0,483.63
23.5,15.26,18.09,0,0,397.77
23.75,9.18,18.09,0,0,164.94
22.2,6.4,17.11,1,0,382.31
21.57,20.3,17.11,4,0,655.08
43.67,21.76,17.11,0,0,544.11
28.17,9.8,17.11,5,0,561.48
23.67,5.83,17.11,3,0,477.88
34.25,12.16,17.11,1,0,522.1
22.17,4.01,17.11,9,0,424.76
22.25,3.88,18.09,0,0,1226.53
22,3.11,18.09,0,0,1097.5
26.22,5.57,18.09,11,0,894.13
28,5.19,18.09,7,0,652.2
32.67,7.51,18.09,12,0,1128.01
53.05,18.89,17.11,0,0,479.09
45,20.6,17.11,0,0,450.69
49.5,14.31,17.11,0,0,479.09
19.57,8.6,17.11,0,0,4.09
31.55,9.87,17.11,0,0,221.95
22.17,4.67,17.11,0,0,414.69
26,6.84,17.11,1,0,196.76
33,9.35,17.11,4,0,145.27
28.33,10.63,17.11,3,0,596.04
31.67,8.71,17.11,3,0,750.26
27.75,6.26,17.11,5,0,845.81
25.5,6.39,17.11,0,0,723.97
25.2,8.11,17.11,0,0,517.64
12.2,4.86,17.11,11,0,137.07
22.75,5.94,17.11,0,0,254.08
18,7.76,17.11,2,0,187.26
45.25,11.6,17.11,0,0,191.33
28.71,4.5,17.11,0,0,376.66
80.36,3.74,14.4,0,0,358.91
78.7,8.53,14.4,0,0,223.01
84,8.6,14.4,0,0,559.2
74.57,11.99,14.4,0,0,151.53
59,5.44,14.4,0,0,281.84
61.16,11.68,12.35,0,0,53.31
54.42,6.71,10.31,0,0,4.4
56,2.92,10.31,0,0,0
6.71,3.99,21.94,16,0,192.49
10.75,2.98,21.94,12,0,1148.98
8.33,3.31,21.94,8,0,594.2
9.5,2.11,21.94,10,0,773.25
4.8,5.23,21.94,12,0,60.01
3,4.8,21.94,8,0,8.88
4.33,5,21.94,20,0,9.82
10,4.97,21.94,11,0,609.27
10,3.29,21.94,18,0,448.12
8.75,2.08,21.94,12,0,538.8
8.5,1.76,21.94,4,0,571.1
6.85,5.29,18.18,38,0,119.44
7.4,3.08,18.18,14,0,119.44
6.5,4.53,18.18,6,0,106.13
8.75,3.62,18.18,12,0,210.32
9.75,2.32,18.18,9,0,521.96
9.4,2.19,18.18,12,0,325.32
7,4.16,18.18,9,0,902.29
5.75,4.54,18.18,8,0,166.04
8.5,3.23,18.18,6,0,346.69
10.6,3.04,18.18,14,0,414.91
8.57,1.97,18.18,23,0,422.94
9,4.53,18.18,6,0,579.32
10.6,1.22,18.18,8,0,662.33
10.4,3.43,18.18,14,0,597.34
8.25,1.52,18.18,13,0,731.79
9.25,1.88,18.18,6,0,663.24
10.6,4.19,18.18,12,0,434.2
9.8,4.1,18.18,11,0,560.22
10.33,3.31,18.18,5,0,586.23
8.57,3.59,18.18,24,0,344
9.25,3.86,18.18,20,0,69.19
9.33,3,18.18,8,0,480.24
9,3.05,21.94,13,0,331.12
8,4.29,21.94,11,0,203.59
11.6,3.57,20.06,16,0,570.45
11.67,3.34,18.18,17,0,522.78
11.17,4.31,18.18,14,0,399.62
8.86,2.98,18.18,18,0,495.78
8.33,2.79,18.18,8,0,377.48
10.2,2.9,18.18,13,0,430.69
10.56,3.45,18.18,25,0,477.1
12.83,1.31,18.18,16,0,619.44
12,1.57,18.18,19,0,542.07
13,0.86,18.18,5,0,594.36
6,8.15,18.18,7,0,641.09
9.4,2.99,18.18,7,0,486.46
7.17,3.32,18.18,0,0,360.11
7.78,4.48,17,0,0,459.22
5.86,4.42,17,0,0,499.38
9,5.22,17.01,2,0,90.28
12.33,5.41,17.01,4,0,222.57
5.33,1.27,21.94,0,0,4.59
5.07,3.86,21.94,7,0,385.48
6.75,5.93,21.94,8,0,247.84
3,9.86,21.94,0,0,366.95
0.2,0.86,21.94,0,0,251.14
9.67,2.67,18.18,0,0,179.42
10.17,8.93,18.18,0,0,76.84
6.3,4.59,18.18,7,0,203.87
11,2.48,18.18,0,0,96.53
424,5.9,31.06,0,0,1295.88
10.67,3.31,13.21,0,0,78.28
11.25,3.34,13.21,0,0,176.65
11,3.8,13.21,0,0,187.73
