mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
9.75,4.53,17.01,10,0,148.53
6.69,2.47,17.01,27,0,7.24
9.43,3.36,17.01,22,0,166.19
9.25,2.29,17.01,25,0,0
9.67,2.4,17.01,28,0,6.03
8.82,5.07,21.94,35,0,385.86
7.9,4.14,16.78,133,0,4.91
7.52,3.87,16.09,189,0,0
8.17,3.49,16.78,143,0,10.14
6,2.92,11.61,2,0,0
5,3.76,11.61,3,0,0
6,2.94,17.01,19,0,9.71
6.67,3.03,17.01,5,0,122.83
9.5,6.05,17.01,20,0,18.05
6.43,3.23,17.01,22,0,9.71
6.57,3.52,17.01,12,0,61.4
8.14,4.87,16.78,106,0,328.3
9.06,4.62,16.78,49,0,387.33
10,3.69,20.56,0,0,886.85
7.33,6.85,21.94,3,0,308.51
6.67,8.59,21.94,5,0,309.57
7.82,4.16,21.94,31,0,364.39
6.6,4.54,11.61,12,0,85.24
7.94,5.84,26.38,32,0,125.88
47.78,9.85,28.73,6,0,404.04
8.38,3.73,21.94,25,0,344.24
49.92,8.69,13.9,18,0,602.07
8.77,3.74,20.06,203,0,258.56
9.4,2.77,21.94,47,0,744.17
8.43,4.38,21.94,20,0,724.16
7.53,2.6,11.61,132,0,359.14
36.22,5.57,13.9,42,0,107.76
61.8,7.95,14.85,0,0,4.47
70.19,12.89,16.88,3,0,11.59
49.48,5.47,13.9,0,0,6.64
32.86,11.17,28.99,30,0,156.65
7.75,3.57,18.18,36,0,239.98
9.56,3.4,21.94,52,0,5.65
7.79,11.13,21.94,39,0,764.46
8.47,3.58,21.94,51,0,366.34
4.71,6.74,13.3,17,0,0
15.88,4.12,28.28,6,0,293.63
15.04,3.62,21.69,22,0,22.2
13.46,5.33,15.09,23,0,5.84
45.5,6.91,16.88,4,0,4.47
54.06,15.33,16.88,0,0,4.41
146.23,31.32,13.78,0,0,0
77.53,12.83,13.78,0,0,13.72
25.27,8.09,16.86,122,0,0
32.32,6.42,15.64,5,0,501.49
45,8.44,16.88,0,0,5.6
16.57,5.06,25.7,421,0,318.96
15.42,5.46,25.7,73,0,1509.99
9.58,4.5,25.7,36,0,260.12
15.64,5.29,25.7,135,0,260.29
8.33,2.59,25.7,26,0,37.05
23.25,5.32,25.7,0,0,1658.05
6.78,6,21.94,25,0,161.54
4.27,2.92,21.94,33,0,149.69
