osm_id,mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness_values,flooded,elevation,slope,precipitation,permeability
619764173,4.39,6.48,13.71,0,1,0.02,0.31,3.55,10.00
835805748,1939.05,22.51,13.71,0,1,7.70,1.10,3.55,10.00
839846490,2000.80,27.82,13.71,0,1,7.95,1.36,3.55,10.00
839860604,1768.88,29.91,13.71,0,1,7.03,1.46,3.55,10.00
840940195,1874.00,33.83,13.71,0,1,7.44,1.65,3.55,10.00
835063855,1779.97,43.73,13.71,0,1,7.07,2.14,3.55,10.00
842457071,1811.00,48.33,13.71,0,1,7.19,2.37,3.55,10.00
842489607,1773.00,48.77,13.71,0,1,7.04,2.39,3.55,10.00
837955881,1835.56,53.24,13.71,0,1,7.29,2.61,3.55,10.00
797258618,1107.73,35.42,13.77,0,1,4.40,1.73,3.57,10.00
886609466,45.03,6.31,13.78,0,1,0.18,0.30,3.57,10.00
962675587,172.13,42.40,13.78,0,1,0.68,2.07,3.57,10.00
961999939,166.15,45.69,13.78,0,1,0.66,2.24,3.57,10.00
866276230,865.38,42.28,13.94,0,1,3.44,2.07,3.62,10.00
618476065,1634.11,28.15,14.04,0,1,6.49,1.38,3.65,10.00
622665046,1638.67,28.40,14.04,0,1,6.51,1.39,3.65,10.00
618476062,1780.41,38.03,14.04,0,1,7.07,1.86,3.65,10.00
288813708,1576.58,26.76,14.06,0,1,6.26,1.31,3.66,10.00
288813710,1520.51,26.90,14.06,0,1,6.04,1.31,3.66,10.00
889544209,1624.48,30.06,14.06,0,1,6.45,1.47,3.66,10.00
848668844,1877.00,30.82,14.06,0,1,7.46,1.51,3.66,10.00
50917802,2128.59,35.00,14.06,0,1,8.46,1.71,3.66,10.00
848668843,1898.83,35.75,14.06,0,1,7.54,1.75,3.66,10.00
623163678,1722.25,35.94,14.06,0,1,6.84,1.76,3.66,10.00
876223486,1559.39,38.24,14.06,0,1,6.19,1.87,3.66,10.00
863662835,1710.95,39.59,14.06,0,1,6.80,1.94,3.66,10.00
889546306,1555.43,41.00,14.06,0,1,6.18,2.01,3.66,10.00
848668842,1858.61,43.87,14.06,0,1,7.38,2.15,3.66,10.00
1074097807,4.67,7.88,14.06,0,1,0.02,0.38,3.66,10.00
794478107,326.93,45.49,14.31,0,1,1.30,2.23,3.74,10.00
798085255,895.99,44.64,14.72,0,1,3.56,2.18,3.86,10.00
623031260,909.22,50.64,14.72,0,1,3.61,2.48,3.86,10.00
622936051,1033.13,35.23,14.78,0,1,4.10,1.72,3.88,10.00
835275878,7.25,8.91,15.09,0,1,0.03,0.43,3.97,10.00
623044689,739.00,12.96,15.17,0,1,2.94,0.63,4.00,10.00
623044563,758.81,21.87,15.17,0,1,3.01,1.07,4.00,10.00
1170482834,806.20,28.83,15.17,0,1,3.20,1.41,4.00,10.00
799354026,1537.47,31.42,15.21,0,1,6.11,1.54,4.01,10.00
623374696,994.35,30.06,15.28,0,1,3.95,1.47,4.03,10.00
752994134,1514.47,28.37,15.43,0,1,6.02,1.39,4.08,10.00
656888762,341.28,32.72,15.55,0,1,1.36,1.60,4.11,10.00
955620927,11.60,4.55,15.55,0,1,0.05,0.22,4.11,10.00
959972591,10.44,5.14,15.55,0,1,0.04,0.25,4.11,10.00
795740067,9.06,5.61,15.55,0,1,0.04,0.27,4.11,10.00
955620931,14.85,8.40,15.55,0,1,0.06,0.41,4.11,10.00
956485037,7.14,9.01,15.55,0,1,0.03,0.44,4.11,10.00
389545230,26.14,10.63,15.55,0,1,0.10,0.52,4.11,10.00
786250364,7.25,12.01,15.55,0,1,0.03,0.58,4.11,10.00
305624383,29.70,7.37,15.64,0,1,0.12,0.36,4.14,10.00
802090835,16.00,5.72,15.66,0,1,0.06,0.28,4.15,10.00
1136511249,20.60,14.62,15.70,0,1,0.08,0.71,4.16,10.00
1136511250,29.43,15.57,15.70,0,1,0.12,0.76,4.16,10.00
623214778,5.00,2.48,16.26,0,1,0.02,0.12,4.33,10.00
1188631284,3.50,3.43,16.26,0,1,0.01,0.16,4.33,10.00
986921145,2.13,4.71,16.26,0,1,0.01,0.23,4.33,10.00
622626529,3.19,5.73,16.26,0,1,0.01,0.28,4.33,10.00
494339529,6.84,5.89,16.26,0,1,0.03,0.28,4.33,10.00
1188631276,5.41,8.33,16.26,0,1,0.02,0.40,4.33,10.00
493838516,8.33,9.23,16.26,0,1,0.03,0.45,4.33,10.00
493838515,6.33,12.71,16.26,0,1,0.03,0.62,4.33,10.00
623163670,1526.19,25.78,16.36,0,1,6.06,1.26,4.36,10.00
764123790,1475.30,27.05,16.36,0,1,5.86,1.32,4.36,10.00
623163647,1578.50,29.68,16.36,0,1,6.27,1.45,4.36,10.00
799354027,1505.70,29.80,16.36,0,1,5.98,1.46,4.36,10.00
838278909,1475.33,35.08,16.36,0,1,5.86,1.72,4.36,10.00
838278910,1499.09,59.69,16.36,0,1,5.95,2.92,4.36,10.00
798373949,1493.92,66.23,16.36,0,1,5.93,3.24,4.36,10.00
797258616,890.08,29.06,16.36,0,1,3.54,1.42,4.36,10.00
962325523,997.11,47.81,16.36,0,1,3.96,2.34,4.36,10.00
964170564,960.71,45.94,16.52,0,1,3.82,2.25,4.41,10.00
616603926,909.42,27.89,16.53,0,1,3.61,1.36,4.41,10.00
800642009,5.36,4.86,16.61,0,1,0.02,0.23,4.44,10.00
890155984,19.56,9.00,16.61,0,1,0.08,0.44,4.44,10.00
854150769,5.00,11.70,16.61,0,1,0.02,0.57,4.44,10.00
45725747,7.14,15.70,16.61,0,1,0.03,0.76,4.44,10.00
389540477,17.29,18.43,16.61,0,1,0.07,0.90,4.44,10.00
622927380,795.75,24.19,16.77,0,1,3.16,1.18,4.48,10.00
617256502,455.46,34.91,16.78,0,1,1.81,1.71,4.49,10.00
962975371,357.19,43.29,16.78,0,1,1.42,2.12,4.49,10.00
622625400,2.08,2.36,17.00,0,1,0.01,0.11,4.56,10.00
622625455,2.74,2.71,17.00,0,1,0.01,0.13,4.56,10.00
622675590,1.46,3.38,17.00,0,1,0.01,0.16,4.56,10.00
622660795,6.91,3.40,17.00,0,1,0.03,0.16,4.56,10.00
435643313,5.26,3.74,17.00,0,1,0.02,0.18,4.56,10.00
435456362,3.50,3.87,17.00,0,1,0.01,0.18,4.56,10.00
751051187,4.47,5.13,17.00,0,1,0.02,0.25,4.56,10.00
972231230,5.23,5.53,17.00,0,1,0.02,0.27,4.56,10.00
750745699,8.45,5.83,17.00,0,1,0.03,0.28,4.56,10.00
751051174,4.33,5.92,17.00,0,1,0.02,0.29,4.56,10.00
750665187,4.30,6.97,17.00,0,1,0.02,0.34,4.56,10.00
1005587409,7.09,7.79,17.00,0,1,0.03,0.38,4.56,10.00
849253051,9.14,7.13,17.01,0,1,0.04,0.34,4.56,10.00
800316564,17.83,5.83,17.11,0,1,0.07,0.28,4.59,10.00
956141894,9.17,13.77,17.14,0,1,0.04,0.67,4.60,10.00
842451383,1980.85,13.79,17.15,0,1,7.87,0.67,4.60,10.00
622946862,716.50,8.29,17.22,0,1,2.85,0.40,4.62,10.00
596783097,752.04,12.58,17.22,0,1,2.99,0.61,4.62,10.00
623195216,742.64,13.22,17.22,0,1,2.95,0.64,4.62,10.00
617800005,775.27,13.83,17.22,0,1,3.08,0.67,4.62,10.00
622946802,735.71,17.32,17.22,0,1,2.92,0.84,4.62,10.00
622946857,718.50,18.46,17.22,0,1,2.85,0.90,4.62,10.00
632407466,4.83,5.98,17.28,0,1,0.02,0.29,4.64,10.00
616211049,515.20,17.22,17.31,0,1,2.05,0.84,4.65,10.00
953984180,707.15,31.19,17.31,0,1,2.81,1.52,4.65,10.00
398668785,496.93,33.07,17.31,0,1,1.97,1.62,4.65,10.00
876488437,673.03,41.97,17.31,0,1,2.67,2.05,4.65,10.00
963363563,670.58,50.55,17.31,0,1,2.66,2.47,4.65,10.00
962945702,386.71,57.71,17.31,0,1,1.54,2.83,4.65,10.00
878000256,1826.00,32.63,17.32,0,1,7.25,1.60,4.65,10.00
963113781,1012.79,54.58,17.32,0,1,4.02,2.67,4.65,10.00
835732061,1643.76,30.02,17.37,0,1,6.53,1.47,4.67,10.00
963106480,599.10,32.24,17.55,0,1,2.38,1.58,4.72,10.00
364402028,5.00,6.56,17.59,0,1,0.02,0.32,4.74,10.00
886053827,23.22,9.29,17.62,0,1,0.09,0.45,4.74,10.00
622946859,735.50,20.41,17.64,0,1,2.92,1.00,4.75,10.00
616504560,3.72,7.74,17.89,0,1,0.01,0.37,4.82,10.00
622937239,608.17,20.17,17.91,0,1,2.42,0.98,4.83,10.00
